,NOSE_TIP,PH_BULB,NERVE_RING,angle
225,"[548.8675537, 146.17099]","[518.3074951, 166.6815643]","[479.9701233, 173.4564819]",23.85
226,"[549.6286011, 142.5453644]","[517.5235596, 164.546814]","[481.6743469, 176.7893524]",15.57
227,"[554.019104, 149.9118652]","[514.8279419, 161.4394531]","[480.9812317, 174.7015533]",-5.01
228,"[556.1386108, 161.7350311]","[519.1235962, 162.0531311]","[482.5861511, 171.4761505]",-13.97
229,"[558.3585205, 166.0726166]","[523.1654053, 164.7397614]","[484.4376831, 170.4099274]",-10.5
230,"[562.3405762, 173.7854919]","[525.5145264, 167.7014313]","[486.0894775, 172.9367218]",-16.95
231,"[560.7062378, 168.396347]","[522.7796021, 176.6933289]","[482.0941162, 178.5389862]",9.74
232,"[559.892334, 164.5902557]","[524.9193115, 180.3694916]","[485.203949, 182.9157867]",20.62
233,"[556.0288086, 152.7951202]","[529.8974609, 177.8126984]","[492.8028564, 188.1168823]",28.23
234,"[547.4884644, 141.3968964]","[532.8748169, 173.4221191]","[497.7814026, 189.6618805]",40.64
235,"[540.2324829, 133.7858429]","[530.7421265, 167.0422211]","[500.7661133, 191.5161896]",34.84
236,"[529.7611694, 125.9984589]","[528.1688843, 164.2269287]","[508.2107849, 189.3610077]",36.07
237,"[522.1611938, 106.4561462]","[514.944519, 144.4933777]","[504.010437, 180.8462524]",6.0
238,"[520.3857422, 104.6959534]","[508.1815491, 139.2556152]","[495.2041321, 178.7583771]",-1.26
239,"[518.5443115, 102.0019073]","[505.8016357, 135.6187897]","[489.1036987, 178.5212555]",0.51
240,"[512.9375, 101.3901291]","[500.3001404, 132.3857727]","[482.796814, 174.0230103]",0.62
241,"[507.5375977, 100.8375854]","[498.3475037, 130.6107941]","[478.7445374, 172.4918671]",7.93
242,"[506.678894, 102.3469086]","[491.1539001, 134.0158081]","[471.6690369, 172.8333435]",0.54
243,"[516.862793, 111.1244736]","[488.5391846, 131.5253448]","[470.5397949, 164.1101532]",-25.32
244,"[527.1930542, 119.5344543]","[492.5624695, 128.7406769]","[469.0911865, 155.2138214]",-33.55
245,"[532.3587036, 137.0247803]","[505.1300049, 131.4989929]","[479.1166992, 136.6868286]",-22.75
246,"[537.161377, 147.0468292]","[509.3180542, 136.7284088]","[481.4815063, 136.227005]",-19.3
247,"[540.4945068, 156.3754425]","[516.53479, 143.4822083]","[484.5441589, 139.4381104]",-21.08
248,"[537.7084961, 172.9210052]","[516.9022217, 152.1209717]","[486.0603943, 142.4219971]",-27.53
249,"[549.710144, 176.8997192]","[523.322998, 164.0903473]","[490.7801514, 147.4687805]",1.16
250,"[555.5376587, 184.4625244]","[527.0873413, 171.3288269]","[491.8762207, 154.8953552]",0.24
251,"[548.5510254, 200.7271881]","[523.6347656, 175.6468201]","[489.0540466, 159.3243408]",-19.92
252,"[554.03125, 205.812088]","[526.3206787, 187.2886047]","[494.3060303, 165.4141846]",0.58
253,"[559.3037109, 208.8371429]","[524.8272705, 195.5565186]","[493.7353516, 172.1283875]",15.93
254,"[559.3745728, 213.1046143]","[524.6550293, 202.656723]","[494.2544556, 180.4333191]",19.42
255,"[561.8650513, 212.230072]","[523.3894043, 212.2870941]","[491.0252686, 188.9467621]",35.88
256,"[563.7501221, 211.5440063]","[524.8657837, 215.7176971]","[494.3337402, 198.002182]",36.25
257,"[563.8735962, 203.5861359]","[531.0738525, 217.9519501]","[497.8067322, 207.1594543]",41.63
258,"[561.0765381, 193.7312164]","[533.772522, 216.5071259]","[502.5662537, 215.0657196]",42.48
259,"[565.7268066, 192.0843658]","[532.0709839, 214.0287628]","[496.2860413, 216.8452148]",28.61
260,"[574.4622803, 198.736557]","[533.1107178, 212.1924286]","[497.4354248, 219.2005005]",6.91
261,"[572.2684326, 190.4861298]","[539.9212646, 211.5652771]","[494.0686646, 221.9389191]",20.34
262,"[566.9490356, 186.4566193]","[532.8169556, 212.1175842]","[495.6358032, 224.482666]",18.54
263,"[565.8435669, 187.0595551]","[531.6206665, 210.0257874]","[489.559906, 226.1586456]",12.88
264,"[568.4259033, 192.0904541]","[529.3519287, 205.6477966]","[486.3405762, 226.8097382]",-7.06
265,"[573.4910889, 193.8301544]","[535.6177368, 202.2709961]","[502.6080322, 219.3216248]",-14.75
266,"[575.3120728, 194.9732971]","[539.236084, 201.5750732]","[502.669342, 215.5505524]",-10.55
267,"[572.2963257, 198.492218]","[540.5806885, 197.0455475]","[510.116272, 204.8979797]",-17.07
268,"[575.581665, 216.8896332]","[548.1936035, 200.9083557]","[515.0061035, 204.2863617]",-36.08
269,"[569.8503418, 232.535202]","[545.9510498, 207.6073914]","[517.6749268, 204.4890137]",-39.91
270,"[564.5914307, 242.1405334]","[543.9349365, 214.59729]","[517.6608276, 207.3822327]",-37.78
271,"[566.2409058, 247.4213715]","[543.1972046, 225.4113464]","[515.2088623, 210.0018921]",-14.85
272,"[566.0378418, 252.9930573]","[542.3344727, 232.6398315]","[511.0635986, 212.130188]",-7.39
273,"[563.3325806, 259.8356323]","[538.8568115, 236.7158966]","[506.770752, 216.528717]",-11.19
274,"[554.5445557, 271.413208]","[533.8548584, 242.5809021]","[502.0029297, 221.1462555]",-20.4
275,"[548.4200439, 288.3644409]","[529.8809814, 252.6785736]","[504.1243286, 227.2174988]",-17.88
276,"[554.2521362, 292.5456238]","[528.6088257, 266.7601318]","[508.830658, 237.8172607]",10.49
277,"[556.1157227, 296.7817993]","[524.7663574, 275.2354431]","[501.4451294, 243.05867]",19.57
278,"[560.5221558, 297.447113]","[523.0504761, 283.7451172]","[499.4819641, 250.477066]",34.6
279,"[562.77771, 292.2349243]","[525.7047729, 294.8190613]","[503.8162537, 266.785553]",56.0
280,"[567.3470459, 290.7941589]","[525.7123413, 296.9612427]","[501.2015991, 273.6932983]",51.94
281,"[566.8942261, 287.7900085]","[529.3587646, 294.0272827]","[499.9201355, 277.6096802]",38.58
282,"[563.1860962, 285.6070557]","[525.3150024, 295.9598999]","[494.9375, 284.2884216]",36.31
283,"[562.2766724, 280.5552063]","[528.6166382, 294.9855957]","[494.9692078, 288.0941772]",34.78
284,"[557.3972168, 272.2389221]","[528.2722168, 290.6034546]","[496.9785767, 288.8988342]",35.35
285,"[549.006897, 259.3477173]","[529.0668335, 285.928772]","[493.8197327, 288.9327087]",48.25
286,"[550.0718994, 253.3955078]","[525.2705688, 282.4336548]","[489.1054688, 291.2214661]",35.84
287,"[557.5185547, 255.5218811]","[523.5958252, 279.7244263]","[483.8231201, 292.5736694]",17.6
288,"[561.1519775, 256.5530701]","[523.5390625, 275.8714905]","[482.9888, 291.387207]",6.25
289,"[565.1381226, 259.0030823]","[528.2315063, 269.865387]","[491.2712097, 287.7790527]",-9.46
290,"[560.3115234, 250.6225586]","[529.0001221, 267.5146179]","[491.2268982, 283.7084045]",5.14
291,"[554.392334, 241.4856415]","[528.916626, 265.3575745]","[496.4627075, 279.5214844]",19.56
292,"[543.5452881, 232.5223236]","[526.2764893, 260.4205017]","[497.6888733, 279.2062683]",24.93
293,"[533.0648193, 222.7139587]","[525.126709, 256.4461365]","[501.9219971, 276.7796326]",35.53
294,"[527.1531372, 212.3892365]","[516.2886353, 246.077713]","[498.3242493, 272.0862427]",16.76
295,"[532.300354, 207.2481384]","[514.6760254, 235.704071]","[492.9442444, 267.7745361]",2.35
296,"[524.9724731, 198.20224]","[510.376709, 229.684082]","[490.8988342, 262.4033508]",5.89
297,"[529.482666, 201.9247284]","[505.6730652, 228.474823]","[482.8193359, 259.3622437]",-5.39
298,"[543.5425415, 215.9296417]","[506.3549194, 223.1674347]","[485.2917175, 246.1990356]",-36.54
299,"[548.3188477, 224.5576782]","[514.1243286, 223.1470795]","[486.262085, 240.9492798]",-34.94
300,"[549.9419556, 236.2399139]","[523.2653198, 224.3661499]","[492.2832947, 230.5295258]",-35.25
301,"[544.1665649, 249.1833649]","[525.7738037, 229.3817139]","[496.8925476, 223.4282227]",-35.46
302,"[547.7389526, 255.4516144]","[528.7072144, 236.7755737]","[501.7414856, 223.758667]",-18.69
303,"[547.6462402, 264.881073]","[530.9262085, 241.7554321]","[502.8058472, 225.896347]",-24.71
304,"[531.3521729, 275.3905029]","[527.465332, 245.2394562]","[502.9852295, 228.0379944]",-47.56
305,"[535.0454102, 288.1556091]","[526.2203369, 257.488678]","[509.1480103, 233.0642853]",-18.9
306,"[544.6242065, 294.0543823]","[523.5206299, 268.8447571]","[505.2680359, 240.7469482]",6.93
307,"[540.5649414, 302.2680969]","[522.9039307, 274.6696777]","[502.2116394, 246.5688629]",-3.75
308,"[526.3084106, 311.2046204]","[517.807251, 273.6237183]","[501.295105, 247.5878601]",-19.64
309,"[512.5166626, 321.6584167]","[514.9464111, 284.2591248]","[500.0719604, 254.8506775]",-30.55
310,"[504.5882568, 335.2276001]","[505.0961304, 294.9717712]","[497.2718201, 262.8558655]",-14.41
311,"[500.9036255, 342.2033691]","[496.5626526, 305.6071472]","[493.8609314, 269.5518188]",2.48
312,"[454.0617065, 376.8389587]","[459.9091492, 337.8357544]","[467.8523865, 306.8380127]",5.85
313,"[454.7402954, 387.9935608]","[448.9754639, 348.4238586]","[459.7822266, 311.5614929]",24.63
314,"[443.592804, 396.735199]","[444.6798706, 353.9568481]","[450.872345, 318.6584473]",8.49
315,"[435.0267029, 403.8952332]","[436.9179993, 356.2962646]","[444.4795227, 325.0201416]",11.32
316,"[446.3603821, 407.5279846]","[430.9564514, 373.1530457]","[435.06073, 336.9184265]",30.6
317,"[458.4090271, 411.5256348]","[428.7283325, 382.9668884]","[427.6488342, 345.5681763]",44.45
318,"[454.5865479, 418.8427734]","[430.7174683, 386.3632813]","[419.1497498, 352.3117676]",17.55
319,"[459.449585, 421.6130371]","[428.8537903, 394.3735962]","[414.6297913, 357.0907288]",27.44
320,"[463.6385498, 418.2096252]","[428.5618591, 399.0224915]","[408.7302246, 363.3851929]",32.23
321,"[463.3620911, 425.4692383]","[434.0681458, 398.9279785]","[404.3614502, 364.5719299]",6.97
322,"[453.8736267, 434.6923218]","[434.2300415, 401.6618652]","[403.8016663, 367.9779968]",-11.35
323,"[451.6637573, 440.8736572]","[431.2923584, 404.9055176]","[407.6998596, 375.2827454]",-9.01
324,"[438.6988525, 446.5665588]","[428.1537476, 404.7680359]","[407.2932434, 375.1823425]",-21.03
325,"[421.5205688, 455.1592102]","[409.7543335, 422.016449]","[407.4365845, 389.2895813]",15.49
326,"[429.5599976, 457.4975586]","[407.84021, 425.0996094]","[403.0682068, 388.6349487]",26.38
327,"[443.9462891, 450.8635559]","[412.0552673, 435.5425415]","[399.2640076, 391.5473328]",48.13
328,"[451.2877197, 442.6541748]","[414.2360229, 435.8197021]","[397.9086914, 399.3485718]",55.43
329,"[455.2627869, 432.8474426]","[418.4476624, 435.3104858]","[399.6968079, 407.2868652]",60.04
330,"[460.3595886, 422.1655273]","[427.4196777, 431.6539307]","[398.6973267, 406.4953308]",57.29
331,"[464.4729309, 411.1302185]","[432.4758606, 425.8234863]","[398.7197876, 407.7160645]",52.87
332,"[469.109436, 396.7111206]","[438.893158, 415.3475952]","[402.8981018, 409.1461792]",41.44
333,"[466.8893127, 378.2979736]","[443.6563721, 403.9917297]","[405.5900574, 406.6470642]",43.89
334,"[467.6141052, 363.4546509]","[443.1700134, 394.682312]","[410.3789368, 403.4143372]",37.04
335,"[471.5288086, 348.9150696]","[449.1932373, 378.1531372]","[413.9718018, 396.9151917]",24.58
336,"[458.696167, 314.5186462]","[453.1467285, 348.4949341]","[434.1532288, 376.7154541]",24.67
337,"[462.9356384, 304.0628052]","[451.0177307, 332.8804016]","[433.3560181, 365.359314]",6.07
338,"[470.0386353, 296.2707825]","[449.3490906, 322.7079468]","[432.2702026, 355.7308044]",-10.7
339,"[482.9175415, 294.7150879]","[450.3457031, 311.4998169]","[433.2579651, 340.6804199]",-32.38
340,"[488.6050415, 295.3035583]","[453.0883179, 305.7479553]","[433.8435974, 330.978363]",-36.28
341,"[497.6162415, 293.9787598]","[458.8521118, 301.8652344]","[434.4587402, 324.1999817]",-30.98
342,"[498.7935791, 310.537262]","[464.5860901, 300.4249573]","[436.1499939, 317.1197205]",-46.89
343,"[500.5188293, 323.8935547]","[480.3760376, 307.828125]","[444.5001526, 309.3818665]",-41.05
344,"[499.208313, 336.3982544]","[483.9253235, 312.7619324]","[453.5257874, 303.806427]",-40.7
345,"[505.6630249, 345.3523865]","[491.6914063, 321.6610413]","[463.9777832, 302.3999634]",-24.67
346,"[512.6616821, 350.5788879]","[494.0740356, 329.0306702]","[470.5005188, 306.6631165]",-5.72
347,"[511.5032349, 359.9095764]","[494.5682373, 334.0682068]","[474.974762, 310.9682312]",-7.07
348,"[504.9447632, 374.1036072]","[493.9737244, 339.1142273]","[476.9642639, 313.937561]",-16.63
349,"[506.5696411, 381.2752686]","[492.6126099, 350.3623352]","[481.1229858, 321.2581482]",2.76
350,"[511.5657349, 385.4076538]","[493.7399902, 356.9759216]","[481.7510681, 327.8942566]",9.68
351,"[520.8630371, 392.8080444]","[493.7011719, 368.6328125]","[481.3287354, 334.3632507]",28.48
352,"[523.4501953, 395.9403381]","[496.6908569, 372.7562866]","[479.8847656, 338.8136292]",22.75
353,"[534.8557129, 389.6282654]","[498.9551392, 378.0704956]","[480.0556946, 347.8783264]",40.11
354,"[543.3649292, 379.3129272]","[504.6741028, 379.4021301]","[482.1109619, 359.1992798]",41.97
355,"[551.446228, 366.083313]","[514.6123657, 374.9316711]","[486.8286438, 361.1758118]",39.85
356,"[554.7344971, 350.1751404]","[521.8483887, 366.765686]","[491.2168579, 363.2881775]",33.25
357,"[555.0759277, 345.0808716]","[520.017395, 363.0333557]","[483.9125061, 359.9309998]",32.03
358,"[550.7694702, 333.2401733]","[516.8117065, 356.3247375]","[481.8197021, 357.052063]",33.02
359,"[543.3199463, 321.3598633]","[519.1551514, 350.2399292]","[482.3549194, 355.5291748]",41.9
360,"[534.4609985, 307.1514282]","[516.2228394, 340.6175537]","[485.1717529, 352.2945862]",40.8
361,"[533.0766602, 294.0943298]","[515.3234863, 330.3632813]","[487.6254578, 347.9787903]",31.46
362,"[532.0845337, 281.5137939]","[512.4350586, 315.5596008]","[488.9114075, 338.9877625]",15.13
363,"[526.3739014, 272.4061584]","[508.170166, 303.6436768]","[485.5288391, 331.1047058]",9.27
364,"[532.7645874, 268.5651855]","[506.9884949, 290.8015137]","[485.2650452, 318.4672852]",-11.08
365,"[540.6536865, 264.0512695]","[508.3626099, 278.5532837]","[486.2241516, 305.3983459]",-26.3
366,"[542.5596924, 267.5737305]","[510.4204102, 274.476532]","[485.2012329, 293.9153137]",-25.5
367,"[550.7919922, 277.91922]","[514.9512329, 271.3672791]","[484.6766968, 286.9768982]",-37.64
368,"[553.7848511, 286.6448364]","[514.2328491, 267.8981628]","[487.4926453, 279.5442505]",-48.89
369,"[551.9957275, 291.7705383]","[523.9390869, 269.8811951]","[496.1864014, 273.9945068]",-46.39
370,"[550.1792603, 305.5718384]","[531.7054443, 279.635376]","[508.0176086, 269.0578308]",-30.48
371,"[551.6066284, 312.3387451]","[536.3092651, 288.967804]","[512.0992432, 270.2585754]",-19.1
372,"[552.699585, 319.6639099]","[536.6691895, 299.3088074]","[515.4290771, 276.1570129]",-4.31
373,"[551.6900024, 325.3034058]","[535.2436523, 303.0924377]","[514.7918701, 278.1349487]",-2.81
374,"[552.4395752, 332.2941284]","[535.8115845, 310.0274048]","[516.788269, 284.168457]",0.41
375,"[555.6915283, 338.7501831]","[533.4363403, 314.5905457]","[513.6120605, 288.7631226]",5.14
376,"[557.6513062, 340.0215759]","[533.2745361, 319.1942444]","[512.9053955, 292.5537415]",12.09
377,"[554.4977417, 334.0858154]","[522.6401367, 323.7155151]","[500.0582886, 297.0237427]",31.74
378,"[561.8679199, 326.7272949]","[523.8189697, 328.1939087]","[500.6026306, 308.9681396]",41.84
379,"[558.225647, 325.6056519]","[522.1524658, 333.8580627]","[495.7778625, 322.2929688]",36.56
380,"[550.4782715, 318.6209106]","[514.9437256, 330.8578796]","[484.9119568, 325.3944702]",29.31
381,"[546.5835571, 314.2145081]","[512.9208984, 329.3085327]","[480.7559204, 326.6580811]",28.86
382,"[539.0296021, 300.4758301]","[514.203125, 323.2742004]","[481.5600281, 328.1740723]",34.02
383,"[528.9042358, 285.1148682]","[513.8322754, 315.7980957]","[482.3451843, 325.9325256]",46.0
384,"[526.317688, 274.3825378]","[508.8811646, 309.5639343]","[478.1264954, 323.3699951]",39.46
385,"[527.1591797, 267.6815796]","[504.4196777, 296.9811096]","[473.7868042, 317.1299438]",18.85
386,"[531.5932007, 255.4500275]","[504.6771545, 286.248291]","[480.1092834, 309.6544189]",5.24
387,"[525.0332642, 246.8217316]","[507.334259, 278.5697327]","[483.7290649, 302.8632813]",15.04
388,"[531.6235962, 245.0547028]","[503.6311035, 270.5657959]","[481.7019653, 296.0645752]",-6.96
389,"[536.2263184, 247.1044464]","[504.7542419, 263.7877502]","[484.5089417, 285.2719116]",-18.77
390,"[538.1810303, 245.5145569]","[505.1901245, 261.5559082]","[480.0427246, 281.0828857]",-11.9
391,"[539.4107666, 248.8142853]","[505.4405823, 257.1491699]","[479.8546753, 275.8231812]",-22.34
392,"[542.7304077, 264.75177]","[506.9975891, 256.6625061]","[477.7666321, 269.1055298]",-35.81
393,"[539.2255249, 280.9893494]","[514.3668823, 261.7395935]","[482.7402954, 264.9789124]",-43.6
394,"[533.9594727, 293.2884827]","[520.5974731, 268.4124451]","[490.7853699, 261.7991028]",-49.25
395,"[530.8137207, 304.5172729]","[519.7258301, 277.6866455]","[494.4570313, 261.1822815]",-34.4
396,"[528.22052, 311.4135132]","[519.1281128, 284.3209229]","[495.1240234, 263.5356445]",-30.56
397,"[520.1134033, 318.0917969]","[517.7121582, 290.3640442]","[498.7759399, 268.280304]",-35.66
398,"[514.3329468, 329.498291]","[514.3025513, 296.2727356]","[500.0780029, 272.2978516]",-30.63
399,"[515.9755859, 339.4329529]","[511.5935059, 307.756134]","[498.9493408, 279.3310242]",-16.1
400,"[506.5114441, 348.625061]","[503.6903076, 312.2045898]","[495.392334, 286.1289368]",-13.22
401,"[479.964447, 383.439209]","[470.8043213, 348.0409241]","[476.828064, 318.7199097]",26.12
402,"[460.4838867, 406.7060852]","[452.7819824, 368.6668701]","[454.7753296, 337.7872314]",15.14
403,"[474.9711304, 408.6142273]","[449.9180298, 379.9170227]","[448.8594666, 343.6522217]",39.45
404,"[484.9155273, 407.4238586]","[450.6564331, 390.5742188]","[440.874054, 354.318573]",48.71
405,"[486.7424011, 410.0190125]","[452.9404297, 396.3959961]","[436.4998474, 365.2772827]",40.2
406,"[492.5653381, 409.8647461]","[455.6192932, 397.6572876]","[433.5720215, 366.4972839]",36.43
407,"[498.9544373, 408.4680176]","[459.3425293, 397.9743042]","[431.9466858, 369.3721313]",31.4
408,"[502.4042053, 405.6154175]","[460.0296021, 397.6034546]","[427.9656067, 370.9717712]",29.01
409,"[502.7938232, 408.5796509]","[465.7129517, 396.4424133]","[423.2587585, 373.8215942]",9.93
410,"[501.5923767, 410.2010803]","[466.0, 392.0107422]","[422.7287903, 373.7944031]",-4.24
411,"[506.6600037, 411.0716248]","[466.7163696, 392.5484924]","[418.7110596, 370.5855713]",-0.29
412,"[504.6626282, 405.0384521]","[462.3928528, 390.7856445]","[415.9719238, 369.5405579]",5.96
413,"[507.9516602, 395.132019]","[465.7976379, 393.2252502]","[422.0177307, 372.0037231]",23.27
414,"[489.6012268, 325.557373]","[477.4631653, 355.8436584]","[452.7196655, 372.5895996]",34.07
415,"[474.6729126, 308.2242432]","[475.2836304, 342.9061584]","[457.2968445, 364.7210999]",40.51
416,"[476.4364624, 284.4829102]","[469.6066589, 324.6856384]","[457.9101563, 353.6573792]",12.34
417,"[474.9051514, 268.2237549]","[467.2780457, 302.3399048]","[458.1639709, 338.475708]",1.55
418,"[470.0154419, 255.3362885]","[462.43927, 286.8302917]","[453.6818542, 325.7822876]",-0.86
419,"[457.1174011, 238.9432983]","[460.8248901, 270.7519226]","[451.2472229, 315.7662659]",18.66
420,"[436.7755737, 230.4477081]","[447.1798096, 255.3635864]","[449.1000671, 300.5163574]",20.23
421,"[430.7662964, 220.5715942]","[435.0596313, 246.3351593]","[445.5242004, 288.3644104]",-4.52
422,"[438.007019, 210.3258972]","[430.9032288, 239.7532349]","[436.6810913, 277.3427124]",-22.31
423,"[451.934082, 204.0423126]","[430.9786072, 229.5039673]","[429.5955811, 268.2329407]",-37.41
424,"[470.3383179, 201.8133698]","[436.476593, 220.0561066]","[422.7462158, 254.2279053]",-39.8
425,"[482.8659363, 211.876236]","[446.3000488, 213.169632]","[423.4930725, 241.3898926]",-49.03
426,"[491.5632324, 215.1734467]","[459.6170349, 211.3977051]","[433.5250244, 216.0636597]",-16.88
427,"[493.4877014, 222.8215637]","[464.7683105, 210.6091766]","[436.6612244, 212.2633667]",-26.4
428,"[494.9799194, 227.2848816]","[466.8209839, 215.2895966]","[440.0437012, 212.4300079]",-16.98
429,"[496.4923096, 233.3323212]","[471.0366516, 219.2728577]","[443.6753845, 212.9235382]",-15.85
430,"[491.7977905, 247.1147766]","[474.0308533, 225.2107544]","[446.8586121, 214.4944458]",-29.43
431,"[491.7467346, 255.4083099]","[471.7679138, 230.9236145]","[446.6825562, 214.6018219]",-17.74
432,"[495.7757263, 257.1220093]","[473.5328369, 238.8663788]","[447.8499451, 217.7090912]",0.1
433,"[490.1192017, 266.3565979]","[471.9594116, 239.5944061]","[445.6963501, 220.0380096]",-19.17
434,"[483.3981628, 272.8374023]","[466.0433044, 242.9500275]","[443.3618164, 221.1355286]",-15.97
435,"[501.5374756, 261.1638794]","[472.2052307, 249.5761566]","[447.3451538, 226.1352844]",21.76
436,"[504.2388611, 262.0999451]","[471.8314209, 248.1143799]","[447.6581421, 227.9668884]",16.47
437,"[511.8670349, 259.8172302]","[477.3395691, 249.4752502]","[449.8722229, 231.3487549]",16.75
438,"[516.8574829, 257.2136536]","[481.2504883, 250.5303497]","[451.7719421, 235.7797089]",15.95
439,"[524.5536499, 252.1497955]","[483.5699768, 252.812027]","[452.0507813, 241.1852264]",21.17
440,"[523.8675537, 237.7124023]","[492.1425171, 252.4797974]","[458.3216248, 246.611618]",34.8
441,"[521.1394043, 220.6644135]","[499.3990479, 246.0999756]","[465.2681885, 250.8720551]",41.52
442,"[515.2982788, 212.3900909]","[498.3925171, 242.0484467]","[468.9544067, 251.0864716]",43.25
443,"[514.0689697, 207.0820465]","[496.3329468, 239.1686096]","[466.4821472, 253.1062012]",36.04
444,"[512.7353516, 204.9821014]","[494.6093445, 236.3269501]","[467.7290649, 253.9884338]",26.65
445,"[514.7749023, 204.063446]","[492.3105774, 232.327179]","[467.6714783, 253.6833801]",10.6
446,"[517.7307739, 204.3454895]","[491.3070679, 228.5797119]","[467.8178406, 253.0926971]",-3.7
447,"[521.4082642, 206.655426]","[487.8923035, 226.1148224]","[466.3874207, 250.1820068]",-18.08
448,"[520.0605469, 202.3150635]","[486.8963013, 225.6390839]","[463.9026794, 246.6306]",-7.28
449,"[512.0198975, 197.1953735]","[491.5953674, 222.711792]","[465.5010376, 244.194046]",11.86
