,NOSE_TIP,PH_BULB,NERVE_RING,angle
450,"[508.2236938, 197.2088318]","[490.9749756, 223.9639282]","[464.9339905, 243.742569]",19.97
451,"[501.1536865, 188.0371246]","[489.8617859, 219.0627594]","[465.5542603, 243.6869965]",24.63
452,"[501.86203, 188.0389099]","[485.8846741, 218.8699646]","[462.8207092, 244.1786652]",14.95
453,"[496.4776001, 185.0718536]","[487.5585022, 216.3882141]","[464.6003723, 243.4885406]",24.37
454,"[486.2948914, 183.951416]","[484.6933899, 213.4259796]","[466.2327271, 243.2575684]",28.64
455,"[471.0197449, 181.4033813]","[478.510437, 210.6964874]","[465.5076904, 242.6083221]",36.51
456,"[458.204071, 181.3860016]","[472.8043213, 207.4909821]","[463.8225098, 240.7774658]",44.32
457,"[441.319397, 181.5301361]","[460.492157, 203.6569672]","[461.0289307, 239.2353668]",40.04
458,"[435.4510803, 176.2212677]","[452.8623962, 199.3347321]","[456.3432922, 239.552124]",32.04
459,"[435.0341187, 174.5129395]","[444.9500427, 199.4718475]","[452.8104248, 239.5745697]",10.58
460,"[431.3414917, 170.4734497]","[438.6752014, 195.8862152]","[447.4091492, 233.2380524]",2.94
461,"[432.8977051, 155.1917877]","[434.5657043, 184.4618988]","[443.6166687, 226.1494598]",-8.99
462,"[427.4458618, 147.6127777]","[430.3773804, 178.1118011]","[438.3497314, 221.7766876]",-4.86
463,"[416.7957153, 143.9163361]","[430.1045532, 168.9725647]","[437.0261536, 214.7701111]",19.38
464,"[401.5887146, 148.1153259]","[421.0722351, 165.7896881]","[432.3311157, 205.595993]",31.99
465,"[383.8878479, 158.1495361]","[416.4032288, 171.275238]","[430.4390259, 209.6805725]",47.94
466,"[366.2792664, 173.4684448]","[408.3700562, 179.1300507]","[423.8021545, 209.84375]",55.66
467,"[346.5117188, 180.7914581]","[394.1229858, 179.5685425]","[416.5428772, 198.775116]",42.06
468,"[333.5029907, 196.4625702]","[370.895874, 180.3014679]","[403.3963623, 192.2407532]",43.55
469,"[314.7792969, 194.7351227]","[354.8945923, 188.6968384]","[386.7059631, 188.1668243]",7.61
470,"[298.9432983, 196.8466034]","[341.9951477, 191.1302948]","[375.5136108, 190.5488281]",6.57
471,"[288.0949707, 188.8034058]","[332.6678772, 194.6474915]","[368.717041, 194.7889557]",-7.24
472,"[274.7233887, 178.3832703]","[309.3357239, 191.969696]","[346.9753113, 196.0364075]",-15.27
473,"[261.916626, 167.2746124]","[293.4790344, 188.9465027]","[329.5527039, 195.9335175]",-23.51
474,"[261.1854248, 154.5691833]","[277.711731, 182.1570435]","[309.2471619, 194.7893372]",-37.25
475,"[263.3753052, 143.6477203]","[272.8890076, 177.4606934]","[301.5415039, 195.3525696]",-42.3
476,"[263.3561401, 136.9681702]","[265.5492859, 168.9125671]","[287.2451782, 193.5981903]",-37.38
477,"[264.1887817, 125.5679474]","[260.8516541, 158.2921295]","[277.0953674, 190.3798065]",-32.67
478,"[266.8887939, 114.6420517]","[258.4942322, 144.7575073]","[265.8768311, 181.6383972]",-26.9
479,"[270.9674683, 101.8565598]","[261.378479, 129.8829956]","[260.6568909, 168.1970978]",-17.81
480,"[274.9989319, 91.61915588]","[265.6419678, 118.7171631]","[257.8728638, 157.4492493]",-7.71
481,"[273.6246033, 77.96974182]","[270.9379272, 104.815239]","[258.5497742, 146.8145905]",10.72
482,"[269.8079529, 66.40039825]","[271.5859985, 95.31267548]","[260.1333618, 141.8947906]",17.33
483,"[267.2565002, 60.1023407]","[273.0568237, 88.77072906]","[263.5914001, 133.3852539]",23.42
484,"[261.1197815, 49.25573349]","[270.2832031, 80.90071869]","[265.5189819, 126.1356812]",22.16
485,"[260.7315063, 40.96428299]","[266.7854614, 70.08531189]","[266.0995178, 115.6483917]",12.61
486,"[256.0135803, 35.79642868]","[264.409729, 62.4685936]","[269.0697021, 103.5673599]",11.0
487,"[235.7495728, 43.04013062]","[255.4926147, 60.80891418]","[269.8815918, 84.94076538]",17.21
488,"[215.5506134, 46.0070343]","[249.3589935, 58.2731514]","[265.6610107, 86.00820923]",39.61
489,"[204.1956177, 41.17378998]","[235.4422607, 55.58926392]","[260.7064514, 76.78993988]",15.24
490,"[192.6589966, 40.75881195]","[227.2503967, 52.13880539]","[256.6158447, 75.79124451]",20.64
491,"[185.2512817, 44.66058731]","[220.3539276, 55.0570755]","[252.8904266, 73.06749725]",12.47
492,"[176.8811951, 55.32300568]","[214.2273254, 56.98264313]","[249.4160767, 73.77683258]",22.97
493,"[169.8288422, 71.4649353]","[203.2275391, 65.36998749]","[243.4994202, 72.86880493]",20.89
494,"[165.3605499, 76.41132355]","[203.9870911, 73.08442688]","[244.3395386, 79.81113434]",14.39
495,"[163.1115265, 80.67856598]","[204.4452515, 82.0763092]","[241.5211487, 86.74693298]",5.24
496,"[154.6510925, 80.99108124]","[207.6636658, 88.36502838]","[242.5029297, 96.20820618]",4.77
497,"[151.7817688, 80.89373779]","[199.2163391, 92.27304077]","[237.7267303, 101.3238373]",-0.26
498,"[156.7629242, 70.46513367]","[175.5679779, 91.10323334]","[206.8348236, 99.36637115]",-32.86
499,"[160.4424133, 66.48674011]","[179.460556, 89.96500397]","[208.0132599, 108.3898087]",-18.16
500,"[170.4285583, 59.48754501]","[180.4885712, 90.94779205]","[209.2046661, 113.857254]",-33.68
501,"[176.0032349, 55.26815033]","[182.1732635, 88.89228821]","[206.7645721, 115.7765121]",-32.05
502,"[190.7990265, 53.41251373]","[181.1172943, 85.18143463]","[201.4245605, 116.3451157]",-50.04
503,"[202.6282349, 48.62084961]","[189.9277191, 80.4861145]","[200.0207214, 115.3410187]",-37.88
504,"[211.4924316, 44.00357437]","[198.9187775, 75.88441467]","[201.3827057, 113.8189011]",-25.24
505,"[227.2897186, 46.37743378]","[206.0134277, 73.16605377]","[202.3877258, 111.0642242]",-32.99
506,"[244.5942993, 44.18970871]","[218.1221619, 69.27071381]","[206.6853027, 103.1938934]",-27.91
507,"[250.8000793, 32.2580986]","[235.842453, 65.07858276]","[217.7662201, 89.91342926]",11.55
508,"[255.0913849, 24.29130554]","[247.2872467, 58.05002594]","[227.9400787, 90.19820404]",18.02
509,"[256.5823059, 20.98560715]","[254.4288788, 53.39879608]","[235.0232239, 91.69566345]",23.07
510,"[253.0426025, 19.25670815]","[258.0565186, 50.26379013]","[244.1538544, 89.10697174]",28.88
511,"[246.8913879, 17.37919998]","[258.9290771, 45.96780014]","[252.4042816, 86.26771545]",32.03
512,"[236.7262726, 19.27945518]","[253.4856567, 41.32114792]","[257.4670715, 82.83039856]",31.77
513,"[227.592453, 22.50052452]","[249.3988647, 39.67991257]","[259.6575928, 75.16704559]",35.64
514,"[219.7246704, 27.45940781]","[245.6505737, 42.15898132]","[261.8320007, 76.18365479]",35.01
515,"[209.9473724, 36.97410583]","[242.4963226, 46.89498138]","[261.9933472, 74.64072418]",37.95
516,"[203.322998, 44.39826584]","[239.7789307, 50.66521835]","[261.6720581, 71.87649536]",34.34
517,"[199.0451813, 46.31693268]","[235.532074, 57.84300613]","[262.7305298, 76.77435303]",17.31
518,"[194.3529968, 44.22370911]","[228.6730194, 60.90579224]","[261.4865112, 82.13846588]",6.98
519,"[195.3322906, 46.02470398]","[227.6482849, 65.67220306]","[259.3778992, 85.25257111]",0.38
520,"[188.6219788, 49.3252182]","[222.7748566, 66.3374176]","[256.4751587, 88.33463287]",6.65
521,"[190.7774658, 47.57500076]","[225.8051605, 72.44284058]","[255.155777, 90.39681244]",-3.92
522,"[198.750946, 45.75174332]","[222.3272705, 72.38924408]","[252.1770325, 94.88494873]",-11.49
523,"[208.1195068, 37.37717438]","[216.8752747, 67.03691101]","[242.4549255, 93.46109009]",-27.62
524,"[219.3668671, 33.56858826]","[217.966156, 66.02257538]","[239.8585968, 97.32151031]",-37.44
525,"[229.2511292, 30.98826218]","[222.455658, 64.84872437]","[239.4571075, 101.306633]",-36.35
526,"[244.0114136, 35.77902222]","[227.2868195, 62.15616226]","[234.9914856, 100.791069]",-43.66
527,"[257.4942932, 43.54150009]","[229.6761322, 65.4574585]","[232.766098, 99.16506195]",-57.01
528,"[276.0651245, 46.49391556]","[241.3284149, 65.24117279]","[234.3253784, 97.13496399]",-49.26
529,"[285.4122009, 42.77057266]","[256.887207, 61.69849014]","[239.9166107, 88.09519958]",-23.7
530,"[296.2775879, 36.45702744]","[272.1017761, 58.39519882]","[253.3202667, 79.96998596]",-6.74
531,"[310.2555847, 42.7498436]","[277.4494019, 57.77409744]","[259.4256287, 77.3549118]",-22.76
532,"[319.9515381, 44.11988831]","[288.8049011, 57.41371155]","[266.9215088, 74.9079361]",-15.53
533,"[327.9776611, 44.0713501]","[296.6060791, 58.79265213]","[274.5829773, 76.67738342]",-13.94
534,"[339.6582947, 54.72514725]","[305.1925354, 60.24884796]","[282.0746155, 75.52046204]",-24.34
535,"[352.7749329, 52.52249908]","[320.2354431, 64.01751709]","[294.7997437, 76.68988037]",-7.03
536,"[356.2729492, 44.28932953]","[326.5172729, 69.31895447]","[294.4744568, 86.59313202]",11.74
537,"[361.440979, 38.31509018]","[338.428894, 68.65454865]","[304.2625732, 88.96482849]",22.09
538,"[364.5144043, 30.6428833]","[354.0488892, 63.61149979]","[321.5224304, 88.15317535]",35.35
539,"[365.64505, 26.99603653]","[358.9315796, 60.5141716]","[334.4311829, 87.76330566]",30.63
540,"[359.3086243, 24.44411659]","[363.467041, 59.63755798]","[345.2755432, 90.2028656]",37.5
541,"[351.5454407, 22.52660751]","[363.8096008, 56.9467659]","[350.9710083, 89.95200348]",40.87
542,"[351.8571167, 11.69063568]","[359.9295349, 44.50426865]","[357.6274109, 83.79343414]",17.17
543,"[351.9225159, 9.808773994]","[358.6705933, 37.19020844]","[359.6213684, 79.3237381]",12.55
544,"[359.1588745, 11.24382305]","[356.4093018, 40.0210762]","[359.732605, 80.66857147]",-10.13
545,"[354.9578857, 7.038288593]","[356.6808472, 36.83786392]","[360.2752991, 81.95815277]",-1.25
546,"[346.5553589, 13.53070831]","[356.0910645, 35.98245621]","[361.3259583, 80.58370972]",16.32
547,"[331.2415771, 19.81962967]","[349.7444763, 39.07022095]","[362.654541, 81.22837067]",26.84
548,"[314.9505615, 33.00962448]","[344.9637756, 48.23098755]","[360.5766602, 86.42884827]",40.88
549,"[300.7096252, 43.3178215]","[340.6477051, 52.69158554]","[359.7720947, 85.94081879]",46.88
550,"[291.3690796, 44.57547379]","[328.7536926, 58.2294426]","[357.2373352, 83.90834045]",21.97
551,"[283.9805908, 54.07248688]","[321.6341858, 61.34577942]","[352.3141174, 78.22027588]",17.88
552,"[276.2427063, 71.1448288]","[315.7545776, 69.04432678]","[348.0162964, 83.78491974]",27.6
553,"[260.791626, 74.40991974]","[303.8750916, 76.90762329]","[338.2972412, 83.57508087]",7.64
554,"[252.0726166, 75.88214874]","[297.5057068, 82.84796143]","[331.0059814, 87.40678406]",-0.97
555,"[244.9908142, 75.48714447]","[290.6488037, 87.42403412]","[325.8563538, 94.84707642]",-2.75
556,"[235.8488464, 83.45333862]","[285.7686157, 91.13349915]","[319.9126587, 99.21669006]",4.57
557,"[234.2964935, 87.25725555]","[261.3322144, 94.26262665]","[299.2434387, 101.9670258]",-3.04
558,"[234.0238495, 83.38885498]","[259.5847473, 98.24353027]","[287.6023865, 106.9734726]",-12.86
559,"[244.3773499, 61.60318756]","[254.8226318, 91.74733734]","[279.2371521, 107.6570206]",-37.8
560,"[252.0312195, 46.87171555]","[247.7610779, 81.48191071]","[269.8406372, 111.2525864]",-43.6
561,"[260.3826904, 42.12435532]","[248.4519653, 72.81221008]","[258.500824, 108.2516708]",-37.08
562,"[274.6678467, 39.26161575]","[253.2817383, 67.55380249]","[253.5506134, 102.9917221]",-37.52
563,"[275.2160339, 28.87916183]","[261.739624, 58.41202545]","[253.2884369, 93.94734955]",-11.15
564,"[283.8657227, 27.55875015]","[268.0230408, 54.86348343]","[256.532074, 84.74765778]",-9.09
565,"[288.7266846, 26.59977531]","[273.4646912, 52.84548569]","[260.8638916, 79.89243317]",-5.2
566,"[297.2951965, 23.45327759]","[280.4142456, 48.81656647]","[264.4850769, 77.24180603]",-4.38
567,"[311.4690552, 25.50152016]","[287.0754395, 46.08607101]","[270.5339966, 70.42147064]",-15.64
568,"[322.0577698, 24.94779778]","[295.4688416, 46.57541656]","[274.9769592, 69.9112854]",-9.59
569,"[325.9684143, 18.65843391]","[305.9924622, 50.10009003]","[279.1273193, 78.09087372]",11.4
570,"[336.3518677, 20.06317902]","[315.9176636, 46.61344528]","[290.9706116, 75.39345551]",3.34
571,"[344.3143311, 21.2808857]","[320.0060425, 46.23309326]","[295.3591919, 75.84512329]",-4.48
572,"[353.286377, 21.84512138]","[328.1192322, 50.00912094]","[305.2684937, 74.69810486]",1.0
573,"[361.5146484, 22.85045052]","[337.3811951, 48.51797485]","[312.9247437, 78.6516037]",-4.17
574,"[377.5723572, 42.13267899]","[344.9454041, 53.94610214]","[322.5148621, 74.09165192]",-22.02
575,"[393.2098999, 60.44726181]","[356.1154175, 65.52379608]","[328.6592102, 78.33665466]",-17.22
576,"[396.7911682, 65.37581635]","[363.2511292, 72.092453]","[335.8518677, 84.44018555]",-12.94
577,"[407.3060303, 81.69879913]","[371.0307312, 83.11175537]","[341.6919861, 90.53795624]",-11.97
578,"[409.4257202, 79.15661621]","[375.3211975, 90.4730072]","[346.2341003, 98.13056946]",3.61
579,"[415.7554626, 77.307724]","[385.2629395, 93.8300705]","[352.7420349, 106.8448334]",6.64
580,"[411.4963684, 67.12253571]","[390.3319092, 94.98814392]","[358.0977478, 111.6506424]",25.45
581,"[405.1345825, 57.724823]","[397.104126, 88.65478516]","[369.2099915, 115.7551117]",31.27
582,"[391.7226868, 50.26970673]","[397.286499, 84.57605743]","[376.7481995, 115.4715805]",42.83
583,"[377.4695435, 47.7406044]","[391.8297729, 77.4629364]","[386.6838074, 110.3166733]",34.69
584,"[368.9895325, 41.45172501]","[384.8277283, 69.34466553]","[387.0104675, 108.4239044]",26.39
585,"[355.3900757, 44.01242065]","[380.5717163, 64.37123871]","[387.8274536, 105.3512344]",41.0
586,"[343.8351746, 50.31559753]","[376.7248535, 66.73473358]","[386.7891846, 99.74624634]",46.52
587,"[335.2187805, 46.31054688]","[369.6437683, 66.61782074]","[384.8162842, 103.855896]",37.3
588,"[332.2776794, 34.41213226]","[355.2404175, 59.69115448]","[379.7003479, 88.90904236]",2.32
589,"[323.3282166, 30.71304512]","[351.4275208, 59.43253326]","[374.6352234, 85.9677887]",3.2
590,"[319.9819336, 36.06551361]","[346.4551392, 61.97910309]","[369.1534119, 87.97952271]",4.49
591,"[325.5688171, 30.19542313]","[338.6412964, 59.05160904]","[362.2424316, 85.61686707]",-17.25
592,"[333.9850769, 22.6176281]","[332.0392151, 55.36720276]","[353.6793213, 88.24259186]",-36.76
593,"[337.9891968, 23.6364975]","[333.0820618, 54.41386795]","[348.7196655, 90.28053284]",-32.62
594,"[346.5936584, 26.11515617]","[334.2170105, 53.50269318]","[342.9359131, 91.24292755]",-37.33
595,"[361.5797119, 28.69208908]","[339.1014099, 50.05131912]","[338.838562, 86.79171753]",-46.05
596,"[374.4909973, 33.11605835]","[343.2285461, 48.93740082]","[336.3589478, 78.24632263]",-49.97
597,"[385.227356, 37.89775085]","[352.8231506, 48.49434662]","[336.3401184, 76.79355621]",-41.67
598,"[393.4445496, 40.53608704]","[363.4429321, 49.85753632]","[340.5683899, 67.67661285]",-20.66
599,"[403.3243408, 36.78875732]","[376.0349731, 51.19531631]","[348.9940186, 61.05781937]",7.79
600,"[408.3084412, 33.19950867]","[384.1357727, 50.97179794]","[357.538269, 61.73270416]",14.3
601,"[412.3678894, 29.57426643]","[386.7991333, 53.93391418]","[356.8854065, 69.21337891]",16.56
602,"[419.4431458, 30.62619972]","[389.8531189, 55.76581573]","[358.6799622, 77.36104584]",5.64
603,"[415.9556885, 28.09789085]","[396.4971313, 57.96718597]","[359.8964844, 82.19979858]",23.41
604,"[411.1827698, 27.66276932]","[405.6803894, 58.95139694]","[379.3787537, 79.42357635]",42.13
605,"[401.4961548, 24.33862686]","[406.00177, 53.47910309]","[387.210022, 80.66980743]",43.44
606,"[394.6010437, 24.25807762]","[404.3855286, 52.52300644]","[389.34552, 83.669487]",44.87
607,"[383.7169189, 26.1540947]","[399.4615173, 53.95069122]","[390.6600952, 85.83242035]",44.96
608,"[372.2519836, 26.87429428]","[396.5238953, 53.68359756]","[391.5596619, 86.512146]",50.76
609,"[360.2049866, 32.70593262]","[389.6663513, 51.91040421]","[393.3111267, 84.55200958]",50.53
610,"[345.8410034, 29.15419579]","[378.8673706, 48.09505844]","[388.8892822, 81.1322403]",43.29
611,"[335.1412659, 32.64100647]","[370.3358154, 47.19281387]","[385.2539063, 79.84165955]",42.98
612,"[323.1811829, 43.6572113]","[364.8797913, 52.2379837]","[382.2922058, 81.20658875]",47.36
613,"[311.8439941, 50.98812485]","[361.0092468, 57.20037842]","[378.2046814, 90.81188202]",55.7
614,"[295.7667542, 49.92819214]","[333.3842773, 62.29232407]","[366.2556763, 80.76485443]",11.14
615,"[291.4309692, 46.38335037]","[323.3764343, 65.46920013]","[357.5632324, 82.58970642]",-4.25
616,"[286.5703735, 43.60109329]","[316.9038391, 66.53753662]","[347.0424805, 83.78656006]",-7.31
617,"[281.0851746, 42.81614304]","[314.687561, 65.07324219]","[341.8182983, 83.73100281]",1.0
618,"[279.7276611, 43.62808228]","[308.9039917, 66.02650452]","[337.1250916, 87.98851776]",0.38
619,"[287.044281, 34.78423691]","[302.6799622, 64.15719604]","[329.4934387, 89.73871613]",-18.32
620,"[289.6323242, 29.1071434]","[299.348114, 59.82548904]","[322.2007446, 92.42556763]",-17.48
621,"[292.1656189, 29.37457848]","[295.7618103, 61.24699783]","[316.520752, 93.51789856]",-26.31
622,"[306.9875183, 28.64640427]","[296.6828918, 55.44847488]","[308.7765503, 92.18704224]",-39.25
623,"[316.5106506, 26.45331192]","[299.6351624, 54.79118729]","[305.5375671, 94.27882385]",-39.28
624,"[322.3016968, 25.23927879]","[302.9467163, 53.15493011]","[303.2932129, 94.61961365]",-35.21
625,"[332.2791443, 26.99163246]","[307.1244812, 51.8261795]","[301.2479553, 86.33084869]",-35.7
626,"[334.7496033, 19.76124954]","[317.032959, 48.91675186]","[303.2910156, 80.31415558]",-7.65
627,"[338.9180603, 16.79537201]","[322.5676575, 44.61128616]","[305.9992981, 73.72821045]",-0.81
628,"[350.9601746, 26.58039474]","[325.0856323, 44.96750641]","[308.3106079, 71.44898224]",-22.25
629,"[357.8892212, 26.59419441]","[331.9961548, 46.28132248]","[312.715332, 67.64748383]",-10.69
630,"[359.2000427, 18.93714333]","[340.3010254, 48.3795166]","[316.9447327, 67.94524384]",17.35
631,"[353.364624, 11.67070675]","[348.7026367, 43.90281296]","[320.98703, 73.34458923]",35.04
632,"[350.0259094, 7.596143246]","[350.869751, 38.53598785]","[326.8973694, 76.42871094]",33.88
633,"[354.1546631, 5.659554958]","[351.4338684, 37.68105316]","[335.0409241, 74.07780457]",19.39
634,"[355.2251587, 2.858965874]","[352.5656738, 35.9752388]","[335.5812988, 74.79624176]",19.04
635,"[347.3692627, 3.024486542]","[354.5023193, 32.99430847]","[341.9508667, 71.52131653]",31.43
636,"[337.1222229, 6.683279991]","[351.2872925, 32.08809662]","[346.3852539, 70.03115082]",36.5
637,"[327.8577881, 5.657425404]","[345.7678223, 29.47159386]","[352.4989319, 66.65885925]",26.69
638,"[320.8695679, 4.490197659]","[341.5038147, 26.79265022]","[353.1486511, 66.98421478]",26.62
639,"[314.8244324, 4.635544777]","[333.0756836, 25.15813446]","[352.2372131, 64.56626892]",15.72
640,"[311.6092529, 3.794266701]","[327.891449, 26.1518631]","[351.5126648, 64.46572113]",4.41
641,"[301.8648987, 7.11889267]","[325.3614502, 26.61690331]","[351.1103821, 65.89938354]",17.07
642,"[295.5063171, 8.270689011]","[321.1237488, 29.22625542]","[347.2884827, 69.12134552]",17.46
643,"[297.6568298, 4.196472168]","[314.5097961, 29.62714386]","[342.1676941, 60.11268997]",-8.68
644,"[295.0484619, 2.745681763]","[310.8420105, 28.21345329]","[337.8483276, 61.7323494]",-7.05
645,"[291.4224548, 1.78995347]","[307.7412109, 27.07543755]","[330.0013733, 59.5416832]",-1.6
646,"[323.7035828, 1.148067236]","[304.7446289, 23.13301277]","[305.5080872, 66.10842133]",-41.79
647,"[338.7431641, 10.45347023]","[309.0484009, 28.13631439]","[304.5438232, 64.78277588]",-52.22
648,"[353.06073, 18.23238373]","[321.7817993, 27.41057205]","[304.5748291, 59.89382172]",-45.74
649,"[364.1919556, 13.4797802]","[333.4427795, 29.75388336]","[313.5427246, 48.60325241]",-15.56
650,"[369.0369873, 9.530864716]","[344.9422302, 33.01931381]","[320.1148987, 50.09998322]",9.74
651,"[376.6343689, 13.91256237]","[348.9151917, 36.80697632]","[323.3101196, 55.85111237]",2.91
652,"[387.1214294, 25.46533585]","[354.3699951, 37.25682068]","[329.3519592, 55.16880798]",-15.8
653,"[394.1619263, 27.43264008]","[364.8302917, 41.11805725]","[338.3557129, 53.59106827]",-0.21
654,"[393.5479736, 18.61270142]","[368.2423096, 45.96170807]","[337.7546082, 64.85250854]",15.44
655,"[396.804657, 21.10406685]","[370.4464111, 51.47300339]","[340.3361511, 70.63581848]",16.57
656,"[405.9807739, 33.22837448]","[375.3638306, 55.18068314]","[348.2199097, 76.69025421]",-2.75
657,"[413.4088745, 33.62524033]","[383.0224304, 56.26097107]","[354.1486816, 77.85160828]",-0.1
658,"[409.4323425, 23.99969101]","[389.6480408, 57.91897583]","[356.8680725, 80.19979858]",25.54
659,"[404.9721069, 19.06930733]","[399.5090027, 51.94019318]","[371.9768677, 81.32957458]",33.69
660,"[398.1434937, 17.55734825]","[399.2723694, 48.09139633]","[380.8729248, 80.97192383]",31.35
661,"[386.5965271, 17.09210205]","[398.3264771, 48.58369827]","[386.168335, 81.78366852]",40.54
662,"[376.4353943, 18.84305382]","[395.9305725, 48.43816376]","[388.083252, 83.77535248]",45.89
663,"[369.5661926, 16.95950317]","[391.7541809, 45.3508873]","[391.7582092, 83.84811401]",38.0
664,"[366.7685242, 16.42064476]","[384.7471008, 45.02881241]","[391.400116, 84.97768402]",22.69
665,"[367.9534302, 13.25495911]","[378.7789307, 43.2747879]","[391.3365784, 81.62371063]",1.7
666,"[362.6358948, 13.23743343]","[374.8385925, 43.99610138]","[389.8965149, 82.74753571]",0.4
667,"[366.760498, 7.598130226]","[370.482666, 43.02606964]","[383.0863953, 82.3367157]",-11.78
668,"[372.3052063, 10.26965141]","[367.7044067, 41.50889969]","[378.0986938, 80.947258]",-23.14
669,"[376.0075684, 8.718517303]","[367.344635, 41.46588898]","[373.5131836, 82.44307709]",-23.38
670,"[366.2530518, 5.733505249]","[370.6139221, 40.43100739]","[372.1133423, 83.60002899]",5.17
671,"[354.2041626, 11.12996864]","[367.8387146, 34.17650223]","[374.2006226, 77.53406525]",22.26
672,"[344.120575, 17.68230057]","[363.8049011, 39.17997742]","[372.8607788, 78.35549927]",29.46
673,"[339.6517944, 19.19984245]","[359.0163574, 39.17308807]","[372.9332886, 76.51792908]",23.68
674,"[335.7874146, 22.01376724]","[353.995697, 44.68939972]","[372.3977356, 82.61354828]",12.88
675,"[321.1860352, 38.18648529]","[351.3172913, 50.23907852]","[369.3368225, 81.10793304]",37.92
